SEQF1614	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter rectus
SEQF1091	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter showae
AY005057	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella maculosa
AY005034	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parahaemolyticus
AF481227	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella marshii
FJ577253	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified Lachnospiraceae A	Lachnoanaerobaculum umeaense
AY005039	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia oral taxon 027
AB072735	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonadetes	Phylum Gemmatimonadetes
AF399914	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomycetes	Phylum Planctomycetes
AJ496032	Bacteria	Fibrobacteres	Fibrobacteres	Fibrobacterales	Fibrobacteraceae	Fibrobacteres	Phylum Fibrobacteres
AY049713	Bacteria	Lentisphaerae	Lentisphaerae	Victivallales	Victivallaceae	Lentisphaerae	Phylum Lentisphaerae
CP000117	Bacteria	Cyanobacteria	Cyanobacteria	Nostocales	Nostocaceae	Cyanobacteria	Phylum Cyanobacteria
CP001071	Bacteria	Verrucomicrobia	Verucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobia	Phylum Verrucomicrobia
CP001100	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobi	Phylum Chlorobi
CP001146	Bacteria	Dictyoglomi	Dictyoglomi	Dictyoglomales	Dictyoglomaceae	Dictyoglomi	Phylum Dictyoglomi
CP001472	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Acidobacteria	Phylum Acidobacteria
D85716	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae	Chlamydiae	Phylum Chlamydiae
L43967	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Tenericutes	Phylum Tenericutes
M34115	Bacteria	Chloroflexi	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobia	Phylum Thermomicrobia
M59177	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotogae	Phylum Thermotogae
M83548	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquificae	Phylum Aquificae
X81319	Bacteria	Chrysiogenetes	Chrysiogenetes	Chrysiogenales	Chrysiogenaceae	Chrysiogenetes	Phylum Chrysiogenetes
X82558	Bacteria	Nitrospira	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Phylum Nitrospira
AF334601	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfobacteria	Phylum Thermodesulfobacteria
AY114315	Bacteria	BRC1	BRC1	BRC1	BRC1	BRC1	Phylum BRC1
AY948040	Bacteria	OP10	OP10	OP10	OP10	OP10	Phylum OP10
AY114311	Bacteria	WS3	WS3	WS3	WS3	WS3	Phylum WS3
EU169846	Bacteria	Chloroflexi	Dehalococcoidetes	Dehalococcoides	Dehalococcoides	Dehalococcoides	Phylum Dehalococcoides
AY193169	Bacteria	SR1	SR1	SR1	SR1	SR1	Phylum SR1
FJ482175	Bacteria	OD1	OD1	OD1	OD1	OD1	OD1
FM207959	Bacteria	OP11	OP11	OP11	OP11	OP11	Phylum OP11
AB426562	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas HINF004
AF023031	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema II:C:T1
AF023056	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema oral taxon 230
AF023063	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema oral taxon 230
AF061348	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema JU031
AF182831	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema oral taxon 230
AF182836	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema 3:E:AT013
AM420101	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	Oribacterium 303B10
AM420220	Bacteria	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia	Leptotrichia trevisanii
AM989128	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified Oxalobacteraceae	Oxalobacteraceae AKB-2008-KU1
AY134904	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified Clostridiales	unclassified Clostridiales C	Clostridiales FX033
AY258065	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas kerstersii
AY369247	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema oral taxon 258
AY860249	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia oral taxon 027
DQ003615	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified Bacteroidales	unclassified Bacteroidales B	Bacteroidales genomosp. P3
DQ003618	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema genomosp. P4
DQ003632	Bacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces dentalis
DQ087192	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Propionivibrio	Propionivibrio HE018
DQ129628	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium AKIW473
DQ130041	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter JEL30
DQ248260	Bacteria	TM7	TM7	TM7	TM7	TM7	TM7 UB12
DQ317590	Bacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micrococcaceae	Arthrobacter	Arthrobacter woluwensis
DQ632967	Bacteria	TM7	TM7	TM7	TM7	TM7	TM7 B350-25
DQ847442	Bacteria	TM7	TM7	TM7	TM7	TM7	TM7 GL2-61
EU469745	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc FF b03 2
EU539957	Bacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Microbacteriaceae	Rathayibacter	Rathayibacter nbt108d11
EU549858	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified Oxalobacteraceae	Herbaspirillum frisingense
EU730916	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium capsulatum
EU827472	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia tropica
EU988892	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema Phil g88
EU991848	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter gracilis
FJ976257	Bacteria	TM7	TM7	TM7	TM7	TM7	TM7 6BB802
EU998053	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema Arg f118
FJ470946	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema E D 05 72
FJ577259	Bacteria	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia	Leptotrichia goodfellowii
GQ017278	Bacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces nbu116h11c1
GQ028280	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas nbw914f05c1
GQ038062	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni
GQ046449	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas nbw914f05c1
GQ051099	Bacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces dentalis
GQ055834	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas nbw1120g06c1
GQ072160	Bacteria	Actinobacteria	Actinobacteridae	Actinomycetales 	Dermabacteraceae	Brachybacterium	Brachybacterium nbw192h11c1
GQ076412	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides
GQ087739	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella IK062
GQ111262	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified Burkholderiales	Roseateles	Roseateles aquatilis
GQ114303	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas denitrificans
GQ115526	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter calcoaceticus
GQ115860	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium yanoikuyae
GQ115915	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium panipatense
GQ116270	Bacteria	TM7	TM7	TM7	TM7	TM7	TM7 B350-25
GQ179717	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter guillouiae
NR_025319	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter henricii
NR_026247	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema lecithinolyticum
AY730708	Bacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micrococcaceae	Arthrobacter	Micrococcus lylae
DQ004817	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified JE87
DQ088807	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	Pelomonas puraquae
EF421434	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium Cep1
FJ665968	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	Pelomonas puraquae
GQ069777	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas koreensis
GQ104743	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Bosea	Bosea nbw521f07c1
GQ104909	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter ursingii
GQ111212	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified Burkholderiales	unclassified Burkholderiales	Burkholderiales nbw622c07c1
GQ115855	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas azotifigens
GQ115882	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus yeei
GQ116155	Bacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium tuberculostearicum
GQ249365	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified Burkholderiales	Sphaerotilus	Sphaerotilus natans
HM358629	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema Novel FX94ZIM01CNV0H
HM358628	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema Novel FX94ZIM01AOT6O
HM358627	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema Novel FX94ZIM01A3YUD
HM358630	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema Novel FX94ZIM02F37Y0
AB016610	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas AB016610
AB476703	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas B12-22_GoMY
AF287807	Bacteria	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia	Leptotrichia oral taxon 210
AJ227798	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas staleyi
AM910533	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium strain F15
AY328778	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas DSSD81
AY569298	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus YJQ-47
DQ003614	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma genomosp. P1 MB1 G23 16S
DQ664248	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales 	Xanthobacteraceae	Azorhizobium	Azorhizobium caulinodans
EF510865	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma salivarium
EU919766	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium hispanicum
FJ227313	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus
